Построение расписания для случайно сгенерированной сети с приведенными ниже параметрами с указанием расписания движения каждого из поездов;;;;;;;;;
Количество станций;Количество поездов;Количество однопутных путей;Время расчета, с;Лучшее время, часов;Среднее время, часов;Худшее время, часов;Разница между лучшим и худшим, часов;Разница между лучшим и средним, часов;Разница между лучшим и худшим, суток
15;15;4;60;28,2;30,7;8,1;-20,1;2,4;0,34
;;;;;;;;;
;;;;;;;;;
;tr0;;;;;;;;
st5;16:08 14.11;;;;;;;;
st12;18:34 14.11;;;;;;;;
st14;20:12 14.11;;;;;;;;
st7;21:44 14.11;;;;;;;;
st9;23:07 14.11;;;;;;;;
st13;1:50 15.11;;;;;;;;
st8;3:20 15.11;;;;;;;;
st4;5:48 15.11;;;;;;;;
st3;8:06 15.11;;;;;;;;
st10;9:40 15.11;;;;;;;;
st11;10:36 15.11;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;tr1;;;;;;;;
st0;16:08 14.11;;;;;;;;
st14;17:23 14.11;;;;;;;;
st12;19:01 14.11;;;;;;;;
st6;20:03 14.11;;;;;;;;
st10;22:20 14.11;;;;;;;;
st11;23:16 14.11;;;;;;;;
st10;0:12 15.11;;;;;;;;
st7;2:52 15.11;;;;;;;;
st5;5:02 15.11;;;;;;;;
st1;6:48 15.11;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;tr10;;;;;;;;
st4;16:08 14.11;;;;;;;;
st14;18:28 14.11;;;;;;;;
st0;19:43 14.11;;;;;;;;
st8;21:33 14.11;;;;;;;;
st13;23:03 14.11;;;;;;;;
st9;1:46 15.11;;;;;;;;
st10;4:44 15.11;;;;;;;;
st6;7:01 15.11;;;;;;;;
st7;9:23 15.11;;;;;;;;
st3;11:08 15.11;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;tr11;;;;;;;;
st5;16:08 14.11;;;;;;;;
st9;17:58 14.11;;;;;;;;
st10;20:56 14.11;;;;;;;;
st6;23:13 14.11;;;;;;;;
st7;1:35 15.11;;;;;;;;
st14;3:07 15.11;;;;;;;;
st2;5:04 15.11;;;;;;;;
st8;7:42 15.11;;;;;;;;
st4;10:10 15.11;;;;;;;;
st3;12:28 15.11;;;;;;;;
st1;13:32 15.11;;;;;;;;
st13;16:05 15.11;;;;;;;;
st1;18:38 15.11;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;tr12;;;;;;;;
st0;16:08 14.11;;;;;;;;
st1;17:39 14.11;;;;;;;;
st7;19:21 14.11;;;;;;;;
st3;21:06 14.11;;;;;;;;
st5;23:25 14.11;;;;;;;;
st9;1:15 15.11;;;;;;;;
st13;3:58 15.11;;;;;;;;
st8;5:28 15.11;;;;;;;;
st4;7:56 15.11;;;;;;;;
st14;10:16 15.11;;;;;;;;
st12;11:54 15.11;;;;;;;;
st10;13:14 15.11;;;;;;;;
st11;14:10 15.11;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;tr13;;;;;;;;
st10;16:08 14.11;;;;;;;;
st6;18:25 14.11;;;;;;;;
st0;19:29 14.11;;;;;;;;
st14;20:44 14.11;;;;;;;;
st7;22:16 14.11;;;;;;;;
st3;0:01 15.11;;;;;;;;
st8;0:56 15.11;;;;;;;;
st2;3:34 15.11;;;;;;;;
st5;5:43 15.11;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;tr14;;;;;;;;
st9;17:58 14.11;;;;;;;;
st5;19:48 14.11;;;;;;;;
st13;21:14 14.11;;;;;;;;
st4;22:11 14.11;;;;;;;;
st14;0:31 15.11;;;;;;;;
st2;2:28 15.11;;;;;;;;
st8;5:06 15.11;;;;;;;;
st3;6:01 15.11;;;;;;;;
st7;7:46 15.11;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;tr2;;;;;;;;
st2;16:08 14.11;;;;;;;;
st14;18:05 14.11;;;;;;;;
st4;20:25 14.11;;;;;;;;
st3;22:43 14.11;;;;;;;;
st8;23:38 14.11;;;;;;;;
st7;0:43 15.11;;;;;;;;
st9;2:06 15.11;;;;;;;;
st5;3:56 15.11;;;;;;;;
st13;5:22 15.11;;;;;;;;
st1;7:55 15.11;;;;;;;;
st0;9:26 15.11;;;;;;;;
st6;10:30 15.11;;;;;;;;
st12;11:32 15.11;;;;;;;;
st10;12:52 15.11;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;tr3;;;;;;;;
st3;16:08 14.11;;;;;;;;
st13;18:01 14.11;;;;;;;;
st9;20:44 14.11;;;;;;;;
st10;23:42 14.11;;;;;;;;
st7;2:22 15.11;;;;;;;;
st5;4:32 15.11;;;;;;;;
st12;6:58 15.11;;;;;;;;
st14;8:36 15.11;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;tr4;;;;;;;;
st5;16:13 14.11;;;;;;;;
st12;18:39 14.11;;;;;;;;
st14;20:17 14.11;;;;;;;;
st0;21:32 14.11;;;;;;;;
st1;23:03 14.11;;;;;;;;
st7;0:45 15.11;;;;;;;;
st10;3:25 15.11;;;;;;;;
st6;5:42 15.11;;;;;;;;
st14;7:20 15.11;;;;;;;;
st2;9:17 15.11;;;;;;;;
st8;11:55 15.11;;;;;;;;
st3;12:50 15.11;;;;;;;;
st13;14:43 15.11;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;tr5;;;;;;;;
st6;16:15 14.11;;;;;;;;
st14;17:53 14.11;;;;;;;;
st0;19:08 14.11;;;;;;;;
st1;20:39 14.11;;;;;;;;
st13;23:12 14.11;;;;;;;;
st9;1:55 15.11;;;;;;;;
st10;4:53 15.11;;;;;;;;
st11;5:49 15.11;;;;;;;;
st10;6:45 15.11;;;;;;;;
st3;8:19 15.11;;;;;;;;
st7;10:04 15.11;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;tr6;;;;;;;;
st13;16:08 14.11;;;;;;;;
st9;18:51 14.11;;;;;;;;
st5;20:41 14.11;;;;;;;;
st3;23:00 14.11;;;;;;;;
st10;0:34 15.11;;;;;;;;
st12;1:54 15.11;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;tr7;;;;;;;;
st7;19:07 14.11;;;;;;;;
st5;21:17 14.11;;;;;;;;
st1;23:03 14.11;;;;;;;;
st0;0:34 15.11;;;;;;;;
st8;2:24 15.11;;;;;;;;
st2;5:02 15.11;;;;;;;;
st14;6:59 15.11;;;;;;;;
st12;8:37 15.11;;;;;;;;
st6;9:39 15.11;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;tr8;;;;;;;;
st11;16:08 14.11;;;;;;;;
st0;18:00 14.11;;;;;;;;
st9;19:28 14.11;;;;;;;;
st13;22:11 14.11;;;;;;;;
st4;23:08 14.11;;;;;;;;
st3;1:26 15.11;;;;;;;;
st10;3:00 15.11;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;tr9;;;;;;;;
st7;16:08 14.11;;;;;;;;
st10;18:48 14.11;;;;;;;;
st11;19:44 14.11;;;;;;;;
st0;21:36 14.11;;;;;;;;
st8;23:26 14.11;;;;;;;;
st13;0:56 15.11;;;;;;;;
st9;3:39 15.11;;;;;;;;
st5;5:29 15.11;;;;;;;;
