;tr0
a0;19.02.2016 6:04
a1;19.02.2016 6:36
a2;19.02.2016 7:24
a3;19.02.2016 8:28
a4;19.02.2016 8:49
a5;19.02.2016 9:48
a6;19.02.2016 10:20
a7;19.02.2016 11:08
a8;19.02.2016 11:40
a9;19.02.2016 12:39
a10;19.02.2016 13:43
a11;19.02.2016 14:09
a12;19.02.2016 14:47
a13;19.02.2016 15:29
a14;19.02.2016 15:50
a15;19.02.2016 16:33
a16;19.02.2016 16:49
a17;19.02.2016 17:21
a18;19.02.2016 18:09
a19;19.02.2016 18:36
a20;19.02.2016 19:24
a21;19.02.2016 20:22
a22;19.02.2016 20:54
a23;19.02.2016 21:10
a24;19.02.2016 21:53
a25;19.02.2016 22:20
a26;19.02.2016 22:57
a27;19.02.2016 23:18
a28;19.02.2016 23:34
a29;20.02.2016 0:17
a30;20.02.2016 1:15
a31;20.02.2016 2:03
a32;20.02.2016 2:35
a33;20.02.2016 2:57
a34;20.02.2016 4:01
a35;20.02.2016 4:33
a36;20.02.2016 5:05
a37;20.02.2016 5:58
a38;20.02.2016 6:41
a39;20.02.2016 7:39
;
;
;tr1
a20;18.02.2016 22:58
a21;18.02.2016 23:56
a22;19.02.2016 0:28
a23;19.02.2016 0:44
a24;19.02.2016 1:27
a25;19.02.2016 1:54
a26;19.02.2016 2:31
a27;19.02.2016 2:52
a28;19.02.2016 3:08
a29;19.02.2016 3:51
a30;19.02.2016 4:50
a31;19.02.2016 5:38
a32;19.02.2016 6:10
a33;19.02.2016 6:31
a34;19.02.2016 7:35
a35;19.02.2016 8:07
a36;19.02.2016 8:39
a37;19.02.2016 9:32
a38;19.02.2016 10:15
a39;19.02.2016 11:13
a40;19.02.2016 11:35
a41;19.02.2016 11:56
a42;19.02.2016 13:00
a43;19.02.2016 13:48
a44;19.02.2016 14:04
a45;19.02.2016 15:03
a46;19.02.2016 15:56
a47;19.02.2016 16:33
a48;19.02.2016 17:21
a49;19.02.2016 17:48
;
;
;tr10
d20;18.02.2016 21:38
d21;18.02.2016 22:15
d22;18.02.2016 23:03
d23;19.02.2016 0:02
d24;19.02.2016 0:39
d25;19.02.2016 1:43
d26;19.02.2016 2:47
d27;19.02.2016 3:08
d28;19.02.2016 3:51
d29;19.02.2016 4:18
d30;19.02.2016 4:34
d31;19.02.2016 4:50
d32;19.02.2016 5:54
d33;19.02.2016 6:52
d34;19.02.2016 7:08
d35;19.02.2016 8:07
d36;19.02.2016 8:44
d37;19.02.2016 9:43
d38;19.02.2016 10:09
d39;19.02.2016 11:13
d40;19.02.2016 11:29
d41;19.02.2016 11:51
d42;19.02.2016 12:07
d43;19.02.2016 12:49
d44;19.02.2016 13:05
d45;19.02.2016 13:43
d46;19.02.2016 14:04
d47;19.02.2016 14:20
d48;19.02.2016 15:03
d49;19.02.2016 15:29
;
;
;tr100
a0;18.02.2016 22:31
a1;18.02.2016 23:03
a2;18.02.2016 23:51
a3;19.02.2016 0:55
a4;19.02.2016 1:16
a5;19.02.2016 2:15
a6;19.02.2016 2:47
a7;19.02.2016 3:35
a8;19.02.2016 4:07
a9;19.02.2016 5:06
a10;19.02.2016 6:10
a11;19.02.2016 6:36
a12;19.02.2016 7:13
a13;19.02.2016 7:56
a14;19.02.2016 8:17
a15;19.02.2016 9:00
a16;19.02.2016 9:16
a17;19.02.2016 9:48
a18;19.02.2016 10:36
a19;19.02.2016 11:03
a20;19.02.2016 11:51
a21;19.02.2016 12:49
a22;19.02.2016 13:21
a23;19.02.2016 13:37
a24;19.02.2016 14:20
a25;19.02.2016 14:47
a26;19.02.2016 15:24
a27;19.02.2016 15:45
a28;19.02.2016 16:01
a29;19.02.2016 16:44
a30;19.02.2016 17:42
a31;19.02.2016 18:30
a32;19.02.2016 19:02
a33;19.02.2016 19:24
a34;19.02.2016 20:28
a35;19.02.2016 21:00
a36;19.02.2016 21:32
a37;19.02.2016 22:25
a38;19.02.2016 23:08
a39;20.02.2016 0:06
